constituency,party,votes
Wahlkreis_1,Partei_A,750
Wahlkreis_1,Partei_B,1010
Wahlkreis_1,Partei_C,980
Wahlkreis_2,Partei_A,800
Wahlkreis_2,Partei_B,1010
Wahlkreis_2,Partei_C,960
Wahlkreis_3,Partei_A,1050
Wahlkreis_3,Partei_B,1060
Wahlkreis_3,Partei_C,610
Wahlkreis_4,Partei_A,950
Wahlkreis_4,Partei_B,1030
Wahlkreis_4,Partei_C,730
Wahlkreis_5,Partei_A,1070
Wahlkreis_5,Partei_B,1080
Wahlkreis_5,Partei_C,590
Wahlkreis_6,Partei_A,980
Wahlkreis_6,Partei_B,1000
Wahlkreis_6,Partei_C,810
Wahlkreis_7,Partei_A,970
Wahlkreis_7,Partei_B,1010
Wahlkreis_7,Partei_C,790
